Frequency (Hz)	Level (dB)
21.533203	-48.898552
43.066406	-57.215290
64.599609	-43.962456
86.132812	-36.994991
107.666016	-33.816734
129.199219	-33.739693
150.732422	-32.517284
172.265625	-36.363689
193.798828	-40.342407
215.332031	-37.523533
236.865234	-38.452137
258.398438	-35.587437
279.931641	-29.794937
301.464844	-30.715345
322.998047	-32.661949
344.531250	-32.952713
366.064453	-33.295467
387.597656	-34.136868
409.130859	-36.605808
430.664062	-34.129280
452.197266	-33.700573
473.730469	-36.687244
495.263672	-34.215893
516.796875	-34.023190
538.330078	-33.253059
559.863281	-31.774612
581.396484	-32.299042
602.929688	-33.382896
624.462891	-40.334015
645.996094	-37.961113
667.529297	-35.153954
689.062500	-40.445992
710.595703	-41.646683
732.128906	-37.761333
753.662109	-37.134987
775.195312	-39.654011
796.728516	-40.201656
818.261719	-42.315178
839.794922	-38.590046
861.328125	-35.424107
882.861328	-30.236633
904.394531	-31.727673
925.927734	-34.354053
947.460938	-34.494411
968.994141	-38.577370
990.527344	-37.015003
1012.060547	-39.562740
1033.593750	-42.047192
1055.126953	-39.737434
1076.660156	-40.347900
1098.193359	-37.916508
1119.726562	-36.399319
1141.259766	-38.921116
1162.792969	-37.565403
1184.326172	-33.529102
1205.859375	-35.488945
1227.392578	-43.057472
1248.925781	-44.767384
1270.458984	-47.085213
1291.992188	-46.697933
1313.525391	-39.972530
1335.058594	-38.239300
1356.591797	-43.407047
1378.125000	-47.732849
1399.658203	-43.920086
1421.191406	-43.457157
1442.724609	-44.640938
1464.257812	-42.926567
1485.791016	-39.214149
1507.324219	-38.866413
1528.857422	-41.764523
1550.390625	-41.671593
1571.923828	-38.810810
1593.457031	-39.541908
1614.990234	-42.555237
1636.523438	-44.070427
1658.056641	-43.802334
1679.589844	-42.507351
1701.123047	-42.782757
1722.656250	-44.828331
1744.189453	-42.931423
1765.722656	-39.155178
1787.255859	-40.256779
1808.789062	-44.506729
1830.322266	-47.491642
1851.855469	-47.512058
1873.388672	-44.651661
1894.921875	-44.574478
1916.455078	-45.476452
1937.988281	-42.240307
1959.521484	-39.105236
1981.054688	-38.618397
2002.587891	-39.903431
2024.121094	-42.979206
2045.654297	-44.972931
2067.187500	-43.114883
2088.720703	-42.948978
2110.253906	-43.040039
2131.787109	-44.301239
2153.320312	-46.390221
2174.853516	-47.091953
2196.386719	-43.011589
2217.919922	-38.095032
2239.453125	-36.730930
2260.986328	-38.091427
2282.519531	-41.142941
2304.052734	-42.583836
2325.585938	-39.566231
2347.119141	-37.151134
2368.652344	-38.458912
2390.185547	-39.194786
2411.718750	-38.937569
2433.251953	-41.916214
2454.785156	-45.790710
2476.318359	-46.203850
2497.851562	-46.443642
2519.384766	-48.908936
2540.917969	-51.356331
2562.451172	-53.146698
2583.984375	-53.794762
2605.517578	-49.604824
2627.050781	-44.998508
2648.583984	-42.319706
2670.117188	-41.589397
2691.650391	-41.914818
