Frequency (Hz)	Level (dB)
23.437500	-49.537937
46.875000	-54.615231
70.312500	-40.932713
93.750000	-35.134655
117.187500	-32.639790
140.625000	-31.803255
164.062500	-33.064800
187.500000	-40.145103
210.937500	-38.255074
234.375000	-38.727970
257.812500	-35.537403
281.250000	-29.907404
304.687500	-31.016357
328.125000	-31.102451
351.562500	-31.996878
375.000000	-33.920620
398.437500	-36.387829
421.875000	-34.893154
445.312500	-33.702045
468.750000	-35.572147
492.187500	-35.113125
515.625000	-33.605186
539.062500	-32.248169
562.500000	-31.493635
585.937500	-32.231003
609.375000	-35.019005
632.812500	-39.962742
656.250000	-35.271523
679.687500	-36.732185
703.125000	-39.959728
726.562500	-38.353935
750.000000	-37.322998
773.437500	-39.663574
796.875000	-40.831226
820.312500	-40.849815
843.750000	-37.216656
867.187500	-33.746426
890.625000	-30.863794
914.062500	-33.363701
937.500000	-32.292343
960.937500	-35.447769
984.375000	-37.947109
1007.812500	-39.598541
1031.250000	-40.798302
1054.687500	-38.201302
1078.125000	-39.001839
1101.562500	-37.544827
1125.000000	-36.954365
1148.437500	-39.622116
1171.875000	-36.365067
1195.312500	-36.339424
1218.750000	-42.466480
1242.187500	-45.056721
1265.625000	-45.938797
1289.062500	-47.489544
1312.500000	-40.707912
1335.937500	-38.753849
1359.375000	-44.024391
1382.812500	-45.252602
1406.250000	-41.484074
1429.687500	-42.161423
1453.125000	-43.149063
1476.562500	-41.000931
1500.000000	-38.820518
1523.437500	-40.413219
1546.875000	-43.336727
1570.312500	-41.619686
1593.750000	-41.061512
1617.187500	-42.579430
1640.625000	-43.105247
1664.062500	-42.078808
1687.500000	-40.959278
1710.937500	-42.376141
1734.375000	-44.150684
1757.812500	-39.984715
1781.250000	-39.558022
1804.687500	-44.339252
1828.125000	-46.713268
1851.562500	-46.662502
1875.000000	-43.633434
1898.437500	-43.734558
1921.875000	-44.868412
1945.312500	-40.722008
1968.750000	-38.121872
1992.187500	-38.981377
2015.625000	-41.453617
2039.062500	-43.544411
2062.500000	-42.273041
2085.937500	-41.350388
2109.375000	-40.892139
2132.812500	-41.963760
2156.250000	-44.607918
2179.687500	-46.082714
2203.125000	-41.687546
2226.562500	-37.635384
2250.000000	-36.796886
2273.437500	-38.869850
2296.875000	-42.659531
2320.312500	-39.802250
2343.750000	-37.310326
2367.187500	-39.000404
2390.625000	-39.880627
2414.062500	-39.031292
2437.500000	-42.348843
2460.937500	-45.571632
2484.375000	-45.743324
2507.812500	-46.610588
2531.250000	-49.566345
2554.687500	-52.364948
2578.125000	-53.881432
2601.562500	-49.909595
2625.000000	-45.022770
2648.437500	-42.250004
2671.875000	-41.258778
2695.312500	-42.490509
2718.750000	-43.420860
2742.187500	-42.529312
2765.625000	-42.966793
2789.062500	-42.567570
2812.500000	-41.354115
2835.937500	-41.796593
2859.375000	-42.871067
2882.812500	-43.725544
2906.250000	-44.334431
2929.687500	-43.602753
2953.125000	-40.186153
2976.562500	-38.871105
3000.000000	-39.183872
3023.437500	-41.209503
3046.875000	-45.979576
3070.312500	-50.277149
3093.750000	-47.312286
3117.187500	-44.983356
3140.625000	-46.916553
3164.062500	-47.897713
3187.500000	-49.505226
3210.937500	-51.181442
3234.375000	-50.872761
3257.812500	-49.333992
3281.250000	-49.410564
3304.687500	-47.586491
3328.125000	-41.818562
3351.562500	-39.873272
3375.000000	-40.895229
3398.437500	-44.330875
3421.875000	-46.725323
3445.312500	-48.407158
3468.750000	-46.443737
3492.187500	-45.359447
3515.625000	-44.064018
3539.062500	-43.322937
3562.500000	-44.082760
3585.937500	-45.060608
3609.375000	-46.572807
3632.812500	-48.943501
3656.250000	-51.121296
3679.687500	-50.750317
3703.125000	-49.814388
3726.562500	-49.954605
3750.000000	-49.953117
3773.437500	-50.040791
3796.875000	-51.561687
