Frequency (Hz)	Level (dB)
10.766602	-37.662205
21.533203	-40.813633
32.299805	-45.007759
43.066406	-40.786568
53.833008	-34.201073
64.599609	-28.107210
75.366211	-26.759741
86.132812	-25.062796
96.899414	-20.897957
107.666016	-22.063911
118.432617	-25.884802
129.199219	-28.135021
139.965820	-26.256393
150.732422	-24.747290
161.499023	-22.410206
172.265625	-21.251120
183.032227	-20.947029
193.798828	-19.588717
204.565430	-22.770727
215.332031	-26.640913
226.098633	-27.096951
236.865234	-32.493225
247.631836	-28.885023
258.398438	-30.221287
269.165039	-32.361546
279.931641	-32.180672
290.698242	-25.630966
301.464844	-27.947266
312.231445	-35.114738
322.998047	-31.662804
333.764648	-30.622286
344.531250	-36.628262
355.297852	-38.430336
366.064453	-36.184826
376.831055	-35.457348
387.597656	-28.963182
398.364258	-30.041658
409.130859	-40.674797
419.897461	-44.198021
430.664062	-39.721500
441.430664	-36.110897
452.197266	-41.950962
462.963867	-41.086533
473.730469	-41.037121
484.497070	-35.897812
495.263672	-31.819262
506.030273	-37.479015
516.796875	-38.343193
527.563477	-36.534878
538.330078	-43.139294
549.096680	-42.523453
559.863281	-42.012436
570.629883	-44.504971
581.396484	-36.660454
592.163086	-36.083344
602.929688	-45.973049
613.696289	-52.574947
624.462891	-48.953850
635.229492	-51.694206
645.996094	-46.427197
656.762695	-38.224464
667.529297	-40.733685
678.295898	-53.735874
689.062500	-54.009407
699.829102	-51.929356
710.595703	-53.680103
721.362305	-52.875591
732.128906	-44.267899
742.895508	-42.337803
753.662109	-47.508106
764.428711	-47.799465
775.195312	-35.113415
785.961914	-31.930849
796.728516	-38.966042
807.495117	-50.584057
818.261719	-51.624493
829.028320	-49.214096
839.794922	-51.462658
850.561523	-54.594894
861.328125	-50.354332
872.094727	-37.802727
882.861328	-35.687920
893.627930	-43.808491
904.394531	-54.530582
915.161133	-58.741692
925.927734	-54.693951
936.694336	-51.275661
947.460938	-55.874050
958.227539	-62.591236
968.994141	-57.832561
979.760742	-50.987667
990.527344	-48.981926
1001.293945	-53.867023
1012.060547	-57.192516
1022.827148	-50.726845
1033.593750	-48.960396
1044.360352	-43.323368
1055.126953	-41.095737
1065.893555	-47.155407
1076.660156	-50.660046
1087.426758	-46.383282
1098.193359	-40.921261
1108.959961	-41.903244
1119.726562	-48.245277
1130.493164	-56.169109
1141.259766	-57.283947
1152.026367	-52.319550
1162.792969	-39.643581
1173.559570	-32.984024
1184.326172	-35.471272
1195.092773	-45.614021
1205.859375	-55.215267
1216.625977	-57.505497
1227.392578	-54.733059
1238.159180	-52.299301
1248.925781	-53.709934
1259.692383	-58.182808
1270.458984	-60.260059
1281.225586	-55.589958
1291.992188	-56.516342
1302.758789	-56.616020
1313.525391	-51.401199
1324.291992	-51.553341
1335.058594	-58.459759
1345.825195	-64.320984
1356.591797	-60.876495
1367.358398	-54.421371
1378.125000	-55.589569
1388.891602	-59.609753
1399.658203	-60.479755
1410.424805	-64.455101
1421.191406	-69.173508
1431.958008	-69.330116
1442.724609	-66.962578
1453.491211	-60.940842
1464.257812	-55.187069
1475.024414	-53.710438
1485.791016	-55.178074
1496.557617	-61.220566
1507.324219	-67.019890
1518.090820	-67.943817
1528.857422	-61.927940
1539.624023	-55.686283
1550.390625	-54.895336
1561.157227	-48.663593
1571.923828	-46.694061
1582.690430	-51.623463
1593.457031	-57.972591
1604.223633	-61.806618
1614.990234	-59.654316
1625.756836	-61.893299
1636.523438	-64.029411
1647.290039	-61.316280
1658.056641	-61.066711
1668.823242	-60.255367
1679.589844	-62.482670
1690.356445	-66.263863
1701.123047	-67.635017
1711.889648	-65.355881
1722.656250	-59.489861
1733.422852	-55.892097
1744.189453	-55.624916
1754.956055	-48.852291
1765.722656	-47.089203
1776.489258	-52.479298
1787.255859	-59.866707
1798.022461	-63.442081
1808.789062	-62.425182
1819.555664	-59.015514
1830.322266	-59.445404
1841.088867	-56.431713
1851.855469	-56.096275
1862.622070	-59.394032
1873.388672	-59.741604
1884.155273	-58.940434
1894.921875	-59.532295
1905.688477	-56.801743
1916.455078	-56.342609
1927.221680	-61.730473
1937.988281	-63.262085
1948.754883	-58.663017
1959.521484	-54.446457
1970.288086	-56.605480
1981.054688	-56.565590
1991.821289	-57.523113
2002.587891	-61.705326
2013.354492	-65.055840
2024.121094	-66.687042
2034.887695	-66.255066
2045.654297	-63.538773
2056.420898	-60.853802
2067.187500	-58.738983
2077.954102	-59.172928
2088.720703	-59.316914
2099.487305	-59.055134
2110.253906	-60.419922
2121.020508	-64.041061
2131.787109	-64.414368
2142.553711	-54.956963
2153.320312	-51.916626
2164.086914	-57.032806
2174.853516	-60.319538
2185.620117	-60.012836
2196.386719	-59.886250
2207.153320	-57.249649
2217.919922	-57.954361
2228.686523	-59.216145
2239.453125	-60.023918
2250.219727	-63.996056
2260.986328	-66.010246
2271.752930	-65.837715
2282.519531	-64.726585
2293.286133	-63.695107
2304.052734	-61.376034
2314.819336	-60.926674
2325.585938	-62.603554
2336.352539	-60.694725
2347.119141	-53.958221
2357.885742	-53.152676
2368.652344	-57.372543
2379.418945	-62.380104
2390.185547	-65.391205
2400.952148	-62.980240
2411.718750	-62.924469
2422.485352	-62.887909
2433.251953	-62.376400
2444.018555	-62.484253
2454.785156	-63.222309
2465.551758	-60.937233
2476.318359	-57.905712
2487.084961	-58.658146
2497.851562	-59.896690
2508.618164	-57.070103
2519.384766	-56.996201
2530.151367	-60.168297
2540.917969	-60.009480
2551.684570	-59.850311
2562.451172	-63.259449
2573.217773	-62.811764
2583.984375	-62.412514
2594.750977	-62.371918
2605.517578	-61.154133
2616.284180	-59.386856
2627.050781	-59.889286
2637.817383	-58.630222
2648.583984	-58.435402
2659.350586	-59.425709
2670.117188	-60.985119
2680.883789	-62.258171
2691.650391	-63.031490
2702.416992	-61.029716
2713.183594	-58.879230
2723.950195	-59.209072
2734.716797	-59.778706
2745.483398	-58.614708
2756.250000	-59.943611
2767.016602	-62.094048
2777.783203	-64.011703
2788.549805	-66.208893
2799.316406	-66.005066
2810.083008	-65.068047
2820.849609	-62.251171
2831.616211	-62.967628
2842.382812	-67.973595
2853.149414	-69.881050
2863.916016	-67.487968
2874.682617	-63.229401
2885.449219	-63.785446
2896.215820	-66.407219
2906.982422	-66.974457
2917.749023	-66.377975
2928.515625	-62.480347
2939.282227	-59.489094
2950.048828	-61.146461
2960.815430	-61.540035
2971.582031	-61.551289
2982.348633	-63.092918
2993.115234	-63.002899
3003.881836	-66.170204
3014.648438	-68.341179
3025.415039	-66.614639
3036.181641	-62.929203
3046.948242	-61.985107
3057.714844	-64.454994
3068.481445	-67.014793
3079.248047	-67.599907
3090.014648	-65.330513
3100.781250	-62.558155
3111.547852	-63.344124
3122.314453	-63.288601
3133.081055	-58.835178
3143.847656	-56.075695
3154.614258	-57.167606
3165.380859	-58.695454
3176.147461	-60.946804
3186.914062	-64.365776
3197.680664	-66.054649
3208.447266	-66.135971
3219.213867	-64.209045
3229.980469	-61.348545
3240.747070	-61.296761
3251.513672	-59.152782
3262.280273	-58.406555
3273.046875	-61.536098
3283.813477	-62.437717
3294.580078	-62.974907
3305.346680	-63.772377
3316.113281	-63.017220
3326.879883	-60.790169
3337.646484	-60.486748
3348.413086	-63.402515
3359.179688	-64.870239
3369.946289	-65.145279
3380.712891	-67.622208
3391.479492	-69.689781
3402.246094	-69.157242
3413.012695	-67.482529
3423.779297	-68.275635
3434.545898	-66.810448
3445.312500	-64.692810
3456.079102	-63.855267
3466.845703	-65.096581
3477.612305	-66.483704
3488.378906	-66.769852
3499.145508	-65.190704
3509.912109	-65.316147
3520.678711	-62.758163
3531.445312	-61.039948
3542.211914	-61.985382
3552.978516	-62.309795
3563.745117	-61.508125
3574.511719	-61.997131
3585.278320	-63.170124
3596.044922	-65.952782
3606.811523	-69.415871
3617.578125	-69.290306
3628.344727	-68.941406
3639.111328	-69.968277
3649.877930	-70.211517
3660.644531	-69.823586
3671.411133	-69.602638
3682.177734	-68.335243
3692.944336	-66.240105
3703.710938	-65.339500
3714.477539	-64.471870
3725.244141	-64.620384
3736.010742	-64.834213
3746.777344	-64.516556
3757.543945	-65.905670
3768.310547	-67.683701
3779.077148	-66.334984
3789.843750	-65.290031
3800.610352	-62.969826
3811.376953	-58.405182
3822.143555	-57.823502
3832.910156	-62.097134
3843.676758	-66.260338
3854.443359	-67.926239
3865.209961	-67.575378
3875.976562	-67.166687
3886.743164	-66.494736
3897.509766	-66.605545
3908.276367	-66.018654
3919.042969	-64.841072
3929.809570	-64.139832
3940.576172	-65.239326
3951.342773	-66.319923
3962.109375	-65.602470
3972.875977	-60.814884
3983.642578	-55.863113
3994.409180	-59.078644
4005.175781	-62.438087
4015.942383	-63.760773
4026.708984	-64.451408
4037.475586	-65.614342
4048.242188	-66.656540
4059.008789	-68.152084
4069.775391	-68.550179
4080.541992	-67.835068
4091.308594	-66.520462
4102.075195	-66.376839
4112.841797	-64.929543
4123.608398	-63.969921
4134.375000	-63.389053
4145.141602	-62.803410
4155.908203	-65.793320
4166.674805	-66.572105
4177.441406	-65.841125
4188.208008	-66.507660
